# Frame_ID, Timestamp(ns), X(m), Y(m), Z(m), Qw, Qx, Qy, Qz
31, 671931743, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
32, 713586807, -0.000205, -0.000121, 0.000131, 1.000000, -0.000047, 0.000005, 0.000048
33, 739015579, 0.000121, -0.000070, -0.000159, 1.000000, -0.000048, -0.000014, 0.000055
34, 772049903, 0.000127, -0.000348, -0.000512, 1.000000, -0.000070, 0.000003, 0.000032
35, 805628538, -0.000411, -0.000312, -0.000067, 1.000000, -0.000084, 0.000047, 0.000011
36, 838942766, -0.000512, -0.000305, -0.000012, 1.000000, -0.000051, 0.000044, 0.000035
37, 872374534, -0.000556, -0.000390, -0.000227, 1.000000, -0.000076, 0.000061, 0.000015
38, 905710697, -0.000562, -0.000299, -0.000212, 1.000000, -0.000082, 0.000067, -0.000007
39, 939778804, -0.000445, -0.000043, 0.000084, 1.000000, -0.000060, 0.000050, -0.000005
40, 973217964, -0.000780, 0.000037, 0.000208, 1.000000, -0.000031, 0.000078, -0.000033
41, 1006564855, -0.000681, 0.000232, -0.000052, 1.000000, 0.000018, 0.000066, -0.000001
42, 1039617538, -0.000780, 0.000324, -0.000173, 1.000000, -0.000005, 0.000078, -0.000049
43, 1073035955, -0.000575, 0.000421, -0.000965, 1.000000, 0.000033, 0.000068, -0.000011
44, 1106375455, -0.000916, 0.000706, -0.001264, 1.000000, 0.000065, 0.000049, -0.000014
45, 1139752864, -0.001411, 0.000839, -0.001574, 1.000000, 0.000067, 0.000057, -0.000081
46, 1173553943, -0.001881, 0.000903, -0.002192, 1.000000, 0.000086, 0.000069, -0.000093
47, 1206443071, -0.002607, 0.001770, -0.002856, 1.000000, 0.000180, 0.000104, -0.000146
48, 1240123510, -0.003130, 0.002617, -0.003872, 1.000000, 0.000277, 0.000116, -0.000238
49, 1273169040, -0.004175, 0.004166, -0.004572, 1.000000, 0.000420, 0.000184, -0.000296
50, 1306589365, -0.004868, 0.005964, -0.006332, 1.000000, 0.000638, 0.000190, -0.000410
51, 1340618848, -0.005467, 0.008097, -0.008637, 0.999999, 0.000904, 0.000194, -0.000508
52, 1373955965, -0.007122, 0.010931, -0.010664, 0.999999, 0.001199, 0.000239, -0.000692
53, 1407011747, -0.008015, 0.013218, -0.014024, 0.999999, 0.001480, 0.000227, -0.000785
54, 1440072298, -0.008981, 0.015826, -0.017652, 0.999998, 0.001780, 0.000191, -0.000953
55, 1473628520, -0.009630, 0.018152, -0.021409, 0.999997, 0.002024, 0.000107, -0.001086
56, 1506909132, -0.010042, 0.020565, -0.025314, 0.999996, 0.002293, -0.000005, -0.001304
57, 1540861368, -0.009272, 0.023019, -0.030172, 0.999996, 0.002551, -0.000237, -0.001460
58, 1574333906, -0.007894, 0.024869, -0.035434, 0.999995, 0.002769, -0.000552, -0.001598
59, 1607674360, -0.006633, 0.027137, -0.039984, 0.999994, 0.002986, -0.000820, -0.001733
